;$FILEVERSION=1.1
;$STARTTIME=45822.7925831713
;
;   Start time: 14/06/2025 19:01:19.186.0
;   Generated by PCAN-View v5.3.0.942
;
;   Message Number
;   |         Time Offset (ms)
;   |         |        Type
;   |         |        |        ID (hex)
;   |         |        |        |     Data Length
;   |         |        |        |     |   Data Bytes (hex) ...
;   |         |        |        |     |   |
;---+--   ----+----  --+--  ----+---  +  -+ -- -- -- -- -- -- --
   220)       324.8  Rx     1829F401  8  00 00 00 00 00 00 00 00 
   221)       325.4  Rx     182AF401  8  00 00 00 00 00 00 00 00 
   222)       326.0  Rx     182BF401  8  00 00 00 00 00 00 00 00 
   223)       326.6  Rx     182CF401  8  00 00 00 00 00 00 00 00 
   224)       327.1  Rx     18A1F401  8  07 01 00 00 2C 21 01 B8 
   225)       359.5  Rx     180101F4  8  0B 6E 01 5A 08 5A 00 00 
   226)       360.1  Rx     1801F401  8  0C 98 08 06 85 08 0B 00 
   227)       360.7  Rx     1802F401  8  8E 08 0B 6E 00 00 00 00 
   228)       361.2  Rx     1803F401  8  0C 94 08 01 8B 08 0C 00 
   229)       361.8  Rx     1804F401  8  91 08 01 5A 00 00 00 00 
   230)       362.3  Rx     1805F401  8  0C 93 08 0C 8D 08 01 00 
   231)       362.9  Rx     1806F401  8  90 08 08 5A 00 00 00 00 
   232)       363.5  Rx     1807F401  8  00 01 5A A8 02 A0 7F 00 
   233)       364.1  Rx     1808F401  8  03 09 B2 02 07 A2 02 05 
   234)       364.7  Rx     1809F401  8  00 00 00 00 00 00 00 00 
   235)       365.2  Rx     1811F401  8  8B 08 8C 08 92 08 8A 08 
   236)       365.8  Rx     1812F401  8  92 08 98 08 86 08 90 08 
   237)       366.3  Rx     1813F401  8  8F 08 8B 08 85 08 96 08 
   238)       366.8  Rx     1814F401  8  94 08 91 08 91 08 94 08 
   239)       367.4  Rx     1815F401  8  94 08 92 08 94 08 8F 08 
   240)       367.9  Rx     1816F401  8  94 08 90 08 91 08 8B 08 
   241)       368.4  Rx     1817F401  8  8D 08 91 08 8D 08 91 08 
   242)       369.0  Rx     1818F401  8  90 08 92 08 8F 08 92 08 
   243)       369.6  Rx     1819F401  8  92 08 90 08 92 08 93 08 
   244)       370.1  Rx     1821F401  8  A9 02 A8 02 A8 02 B1 02 
   245)       370.7  Rx     1822F401  8  A2 02 A3 02 B2 02 A3 02 
   246)       371.3  Rx     1823F401  8  A7 02 00 00 00 00 00 00 
   247)       371.9  Rx     1824F401  8  00 00 00 00 00 00 00 00 
   248)       372.4  Rx     1825F401  8  00 00 00 00 00 00 00 00 
   249)       373.0  Rx     1826F401  8  00 00 00 00 00 00 00 00 
   250)       373.6  Rx     1827F401  8  00 00 00 00 00 00 00 00 
   251)       374.2  Rx     1828F401  8  00 00 00 00 00 00 00 00 
